Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,111731.843575419,1,260.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,333393.404216976,0,506.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,1,1,0,1,0,1,0,331951.70300955133,1,506.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,234276.44620652372,1,506.0,23.0,5,18.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,1,1,1,4,1,1,1,1,1,1,261308.34384573798,1,506.0,27.0,6,21.0,Punjab
"Allama Iqbal Town, Lahore, Punjab",5.0,4.0,1,0,1,2,1,0,1,0,0,0,135159.48819607138,1,208.0,16.0,2,14.0,Punjab
"Audit & Accounts Housing Society, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,95512.70499189044,1,208.0,22.0,5,17.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,0,0,2,1,0,1,0,0,1,84699.94593620472,1,130.0,14.0,3,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,6.0,1,0,1,1,1,0,1,0,1,0,519372.8599747702,1,1012.0,19.0,3,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,1,1,0,1,0,1,0,207244.54856730942,1,506.0,18.0,3,15.0,Punjab
"Nasheman-e-Iqbal, Lahore, Punjab",5.0,5.0,1,0,1,2,1,0,0,0,0,1,117138.22310326186,1,260.0,17.0,2,15.0,Punjab
"Valencia Housing Society, Lahore, Punjab",5.0,5.0,0,0,0,2,1,0,0,0,0,1,153180.7532888809,1,260.0,15.0,2,13.0,Punjab
"Mustafabad Lalyani, Lahore, Punjab",1.0,1.0,0,0,0,0,0,0,0,0,0,0,8650.207244548568,0,78.0,2.0,0,2.0,Punjab
"Lahore - Kasur Road, Lahore, Punjab",1.0,1.0,0,0,0,0,0,0,0,0,0,0,8650.207244548568,0,78.0,2.0,0,2.0,Punjab
"Mustafabad Lalyani, Lahore, Punjab",1.0,1.0,1,0,1,1,1,0,1,0,0,1,8650.207244548568,1,78.0,9.0,3,6.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,66678.68084339521,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,2,2,1,1,1,1,1,1,73887.18688051902,1,130.0,20.0,6,14.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,77491.43989908091,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,68480.80735267616,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,0,1,2,1,1,1,1,1,1,68480.80735267616,1,130.0,18.0,6,12.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,73887.18688051902,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,63074.42782483331,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,1,1,1,1,1,273562.80410884845,1,506.0,22.0,6,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,0,2,1,0,1,1,1,1,255901.96431789512,1,506.0,21.0,5,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,256622.8149216075,1,506.0,24.0,6,18.0,Punjab
"Park View City, Lahore, Punjab",5.0,5.0,0,0,1,2,1,0,1,0,0,1,56947.19769327807,1,130.0,17.0,3,14.0,Punjab
"Canal Garden, Lahore, Punjab",5.0,4.0,1,0,0,2,1,0,1,0,0,1,75689.31338979997,1,130.0,16.0,3,13.0,Punjab
"State Life Housing Society, Lahore, Punjab",4.0,3.0,1,1,1,2,1,0,1,1,1,1,71364.20976752568,1,130.0,18.0,5,13.0,Punjab
"Kahna, Lahore, Punjab",3.0,2.0,0,0,0,0,0,0,0,0,0,0,15858.713281672373,0,52.0,5.0,0,5.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,0,1,1,0,1,243287.07875292847,1,506.0,20.0,4,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,0,1,1,1,1,243287.07875292847,1,506.0,21.0,5,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,0,0,1,209046.67507659039,1,506.0,20.0,3,17.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,1,0,0,1,91908.45197332853,1,130.0,15.0,3,12.0,Punjab
"Al Rehman Garden, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,59470.1748062714,0,130.0,11.0,0,11.0,Punjab
"DHA 11 Rahbar, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,1,1,1,1,79293.56640836188,1,130.0,17.0,5,12.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,0,1,1,1,1,1,1,1,90106.32546404758,1,130.0,17.0,6,11.0,Punjab
"State Life Housing Society, Lahore, Punjab",4.0,3.0,0,1,1,2,1,1,1,1,1,1,66678.68084339521,1,130.0,18.0,6,12.0,Punjab
"Al Faisal Town, Lahore, Punjab",2.0,2.0,0,0,0,1,0,0,0,0,0,0,18021.265092809517,1,31.2,6.0,0,6.0,Punjab
"Thokar Niaz Baig, Lahore, Punjab",3.0,3.0,0,0,1,1,1,0,1,0,0,1,32438.277167057127,1,78.0,12.0,3,9.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,4.0,0,0,1,2,1,0,1,0,0,1,45053.16273202379,1,91.0,15.0,3,12.0,Punjab
